duration,views,likes,comments
268,302488,22059,2869
358,121384,5410,527
170,327607,22604,2947
336,913918,83392,17411
16,513896,12407,4195
165,257060,9677,3803
384,266504,21097,4026
161,350957,14985,1782
17,517171,42061,6182
207,813053,56878,14133
494,617930,11364,1811
485,271867,24265,752
82,273051,4171,676
582,911445,58184,15067
469,544503,9360,4793
249,955178,35520,5445
23,194573,18947,2698
126,9397,397,120
186,681232,45449,13528
144,784529,28862,7064
506,492536,13090,3357
384,24046,1863,232
443,750344,56069,11613
581,477144,30150,637
192,18326,1634,66
183,143057,1495,1225
110,202784,15601,3207
439,594155,26493,1606
455,373266,12710,512
545,705014,50900,1284
105,321217,26413,1392
326,924054,35861,1636
218,537806,41838,1185
534,485415,13671,4772
385,289141,4946,944
297,742647,8668,12642
62,644791,37322,12320
30,730648,33466,1740
287,585333,13394,4852
566,733578,17771,3448
235,819345,77057,7336
402,741330,27623,3057
187,483763,39028,2813
331,198035,8831,1756
146,120114,3388,287
470,905025,78404,6514
354,815080,65515,4161
95,736531,37856,4176
149,974607,44320,10013
424,608825,35209,6653
333,737451,14751,14515
51,468184,30296,7595
136,802351,16591,4854
546,778739,39456,7114
271,171247,4321,3051
311,251520,2859,2855
588,678562,19699,8535
518,700626,32473,10517
60,160731,7863,1258
254,721302,10758,11264
313,557907,35631,10572
73,877809,47813,10196
504,638193,22541,4294
7,370622,7327,2202
136,183097,5455,2147
260,213866,10171,3140
320,736764,13115,12537
307,638571,55387,4309
548,658659,60570,6321
441,78138,4100,669
49,949756,55318,9608
259,111613,6913,1799
393,372207,22784,2546
367,103253,8256,551
599,302972,19385,1090
479,662667,53540,5108
219,130212,12885,1808
157,149460,8467,2067
80,885350,24081,13293
561,233359,11088,1985
325,160064,9360,2921
363,189343,8046,2004
475,447664,19736,7276
198,62921,1709,772
111,903706,61201,16675
368,286145,22303,2845
26,564779,14310,10998
241,793616,63604,7640
16,542266,45107,7729
427,375835,14068,2565
277,707728,10578,3790
363,73179,1920,168
224,456419,17790,1654
35,45430,3868,361
240,638219,15064,3668
343,595036,19971,7657
93,836529,64368,2209
290,214151,15202,4237
398,419755,17746,3774
145,533854,32254,6600
443,301339,20983,4386
511,367157,16498,6398
288,216846,11760,441
103,501716,45673,8287
583,544383,48223,2670
132,588312,52382,2347
361,772527,19579,14283
192,650743,27437,10601
35,359883,23810,720
92,524352,17240,6814
402,496242,30346,523
503,757830,19967,6952
572,141031,12477,1282
446,45706,3844,52
67,135773,12829,2670
526,663721,25541,12037
451,900544,85693,6590
29,884335,81981,4160
507,622423,14585,2892
409,524444,9478,8843
524,501875,33469,5870
422,520681,22619,1113
458,559374,46780,816
205,420615,40415,5295
182,368842,15864,4386
224,778973,22486,4145
168,533204,49144,9012
491,167699,6125,2462
124,810772,19174,15448
430,223726,19544,2951
80,213096,17583,1855
331,617445,31576,5873
29,429686,23530,8280
141,693250,20894,6927
16,331018,3727,5339
57,965830,12894,15130
564,350024,22065,6884
357,977425,64339,9110
117,621745,13116,8863
14,299051,8601,1024
583,539845,22818,8994
225,454512,33571,5266
67,981935,13120,19392
397,898332,54150,16339
165,725872,12973,3670
275,629525,20237,1758
380,346461,26593,1445
300,329414,18267,1004
115,4794,281,20
315,145811,4519,1537
418,637660,56223,5319
282,94869,9249,1728
425,820584,10467,11999
499,209585,6234,505
399,962339,42929,4812
297,710473,14052,13830
288,968250,78208,1883
17,12973,302,63
125,793191,28789,7826
556,102120,9554,160
320,818508,16433,7304
593,771714,77077,8438
96,573784,53691,4840
444,470065,44909,5618
547,64010,4747,1254
307,738002,68947,7310
587,955859,56378,4105
586,190475,8399,2520
190,409351,15427,851
321,992331,44025,16766
270,700997,63894,1105
481,205819,3784,3953
318,683650,61163,11299
523,501954,8969,6828
101,121609,6292,1095
259,112766,3979,325
39,117005,8783,2301
332,476765,42687,6577
296,396708,22068,1952
558,371798,26372,1392
410,647835,44235,4039
183,596222,25166,5619
20,161804,10998,2769
138,145880,14565,2520
508,356559,9848,2363
79,155455,12261,3108
325,462933,33099,4461
351,53176,5259,154
134,60385,2725,782
588,831140,39499,4299
154,970112,23523,3584
110,639332,29657,9244
555,650828,21992,4948
341,326480,18366,3549
162,278896,7152,5317
413,386778,19365,4671
115,730102,53723,3676
507,884436,29999,3034
534,952073,67558,7482
324,278269,18788,2958
506,856790,81564,16621
360,914345,72855,5018
536,51144,4277,796
537,118294,7490,481
299,372322,32294,6169
21,811830,47183,15615
126,23070,1934,426
420,590346,36419,599
140,976919,63355,2831
276,607639,29057,2767
64,107142,5840,1840
574,576830,54631,5454
46,269729,14657,901
294,626792,38230,5473
173,236586,23042,2385
248,576495,57529,10279
444,199407,18171,3053
527,95524,1626,731
562,685501,54175,13405
196,505375,43765,9191
315,123176,3639,2349
136,920300,88477,9322
508,369656,34328,6629
504,911704,34314,11653
148,664366,59406,1468
193,993627,37862,9857
446,285169,22561,2824
388,356311,32268,1971
409,4989,87,65
560,807778,14367,3653
166,141073,1755,444
280,896981,88771,11553
22,568161,42230,10720
