duration,views,likes,comments,engagement_level,engagement_label
107,864410,66724,3768,High,0
440,274483,22623,3115,High,0
275,833154,63556,9591,High,0
111,571053,53267,3036,High,0
76,818806,41116,11894,Medium,2
25,929023,23765,13866,Low,1
126,894900,12799,1251,Low,1
471,146175,4704,1245,Medium,2
219,686326,15708,12293,Low,1
335,153160,9222,1667,Medium,2
463,449210,11969,3416,Low,1
92,895095,12087,5209,Low,1
377,515440,6823,2898,Low,1
104,221616,18802,641,High,0
135,661134,41803,10926,Medium,2
313,725998,30657,1921,Medium,2
348,355347,32151,2328,High,0
496,66546,1085,124,Low,1
418,553460,54365,8770,High,0
390,33817,2213,59,Medium,2
196,218517,5793,1498,Low,1
281,157823,11223,1876,High,0
165,379446,29864,3332,High,0
464,961895,46787,6120,Medium,2
318,384633,33673,2395,High,0
26,109625,2583,1771,Low,1
257,456666,16026,8907,Medium,2
565,213192,3925,1622,Low,1
479,4746,137,8,Low,1
63,301957,9507,511,Medium,2
515,330180,30570,5093,High,0
480,175503,2988,2017,Low,1
194,284429,13785,4519,Medium,2
567,346507,20068,4938,Medium,2
571,754116,68535,13757,High,0
248,576495,57529,10279,High,0
509,769253,59851,12291,High,0
135,459870,44778,4611,High,0
489,804095,65002,5511,High,0
25,595117,57540,6328,High,0
171,277945,20471,2929,High,0
278,200244,3439,2522,Low,1
392,965821,44594,4380,Medium,2
320,962214,65616,12948,Medium,2
18,739882,30752,7158,Medium,2
246,495439,17144,6333,Medium,2
350,777003,48147,4314,Medium,2
569,967735,90981,8954,High,0
344,652719,8582,3259,Low,1
96,684870,54262,12074,High,0
371,99380,7458,1020,High,0
459,714175,69100,3767,High,0
432,38765,3634,69,High,0
513,278201,21866,3850,High,0
39,965731,54889,4904,Medium,2
210,981193,27850,19429,Low,1
85,832540,49179,9274,Medium,2
566,848452,66927,5506,High,0
392,783673,71008,10576,High,0
6,688335,55806,4287,High,0
394,113928,3141,1889,Low,1
570,910384,58238,6242,Medium,2
110,657086,26214,12994,Medium,2
481,90915,984,1136,Low,1
406,194994,5463,3323,Low,1
560,989369,19975,2358,Low,1
166,727873,62484,5544,High,0
206,164814,5482,2474,Medium,2
274,824843,29383,11090,Medium,2
275,32456,3128,152,High,0
460,266053,11737,2066,Medium,2
466,960975,10438,5771,Low,1
256,821407,29197,10394,Medium,2
300,765509,15874,5777,Low,1
342,271709,5231,1867,Low,1
57,721555,12247,3564,Low,1
221,336088,21305,2948,Medium,2
192,196422,5311,926,Low,1
384,873421,37130,16847,Medium,2
497,539638,47262,2123,High,0
45,46123,2222,846,Medium,2
161,625738,57825,5719,High,0
19,177796,9745,1454,Medium,2
69,540815,24820,2917,Medium,2
525,426592,33075,5579,High,0
348,858175,14233,12035,Low,1
133,210184,3794,2077,Low,1
476,134611,9244,277,Medium,2
67,479164,25790,8841,Medium,2
143,742791,60268,14578,High,0
503,78772,7283,723,High,0
597,473019,21263,5988,Medium,2
396,17400,1107,166,Medium,2
423,322533,17759,2295,Medium,2
293,410498,40370,1013,High,0
383,463823,39331,4482,High,0
494,444228,40894,7351,High,0
235,944513,31065,1250,Medium,2
45,19759,1571,238,High,0
32,686863,23279,12181,Medium,2
139,245359,7063,1259,Low,1
205,426902,40548,1913,High,0
37,10460,122,163,Low,1
52,807956,78278,4723,High,0
507,622423,14585,2892,Low,1
411,503547,42171,4119,High,0
578,48891,1703,413,Medium,2
103,396381,16474,6979,Medium,2
551,724255,21371,9234,Low,1
466,508910,31906,4434,Medium,2
9,274544,11346,3062,Medium,2
222,557758,38577,10667,Medium,2
507,725291,8274,2285,Low,1
402,27309,431,135,Low,1
397,501603,9515,9674,Low,1
211,283171,13509,5433,Medium,2
19,558967,46579,2440,High,0
558,503723,45302,1892,High,0
465,795564,25484,7160,Medium,2
579,617642,38104,1201,Medium,2
245,864945,68462,11627,High,0
568,958335,34494,2369,Medium,2
100,637916,29861,1341,Medium,2
489,747662,42734,7640,Medium,2
411,971371,21504,18648,Low,1
235,386160,4764,3517,Low,1
175,762680,18115,5928,Low,1
545,858834,57041,17143,Medium,2
40,705414,11727,7835,Low,1
529,248442,6725,2019,Low,1
164,743825,30055,6197,Medium,2
247,872289,14836,4103,Low,1
90,418418,11403,4490,Low,1
582,952037,87601,8890,High,0
561,802464,9418,4931,Low,1
578,812246,55889,3289,Medium,2
32,57903,2582,400,Medium,2
560,433059,30547,4618,High,0
344,133724,8422,281,Medium,2
335,581015,17497,2278,Medium,2
510,701447,60498,13331,High,0
352,342054,18564,3870,Medium,2
477,45480,3821,100,High,0
235,160422,7466,2272,Medium,2
194,723804,71382,1573,High,0
229,851218,67539,12801,High,0
389,502710,48730,7665,High,0
381,382565,21534,5115,Medium,2
287,519439,27339,7745,Medium,2
263,831560,64854,2221,High,0
363,670755,59848,9933,High,0
460,899673,87064,3236,High,0
415,841780,33005,6271,Medium,2
322,997809,81704,18870,High,0
229,272767,7898,2878,Low,1
238,307774,18189,5964,Medium,2
378,783513,20517,2107,Low,1
476,538157,22207,5421,Medium,2
237,980646,92006,2143,High,0
117,112135,2595,1454,Low,1
501,175817,11764,438,Medium,2
446,746203,47283,3232,Medium,2
568,455458,9503,2695,Low,1
272,756220,29748,11514,Medium,2
514,681017,41316,2802,Medium,2
390,759187,20381,12971,Low,1
391,342026,28065,1199,High,0
117,340626,33209,568,High,0
85,168257,4934,1431,Low,1
117,968312,25972,18988,Low,1
6,444673,22653,1376,Medium,2
224,897471,69373,2631,High,0
570,144642,5112,2208,Medium,2
229,865244,10200,5997,Low,1
389,643031,37752,9406,Medium,2
407,369661,35522,1774,High,0
134,210254,9506,2048,Medium,2
57,662265,31664,4000,Medium,2
420,213496,20752,2045,High,0
251,914788,66335,14282,High,0
443,750344,56069,11613,High,0
207,979632,59408,10579,Medium,2
188,181944,17778,3391,High,0
127,522897,37647,3143,High,0
405,969708,87809,5397,High,0
298,991220,72303,12551,High,0
284,625810,47661,8013,High,0
202,351544,12703,662,Medium,2
515,268874,10032,3373,Medium,2
148,911006,73307,7392,High,0
205,361113,13254,5489,Medium,2
128,802233,48654,13119,Medium,2
191,146031,4737,1678,Medium,2
330,414499,34622,427,High,0
468,958042,19108,12541,Low,1
353,883817,74815,13459,High,0
407,641944,41242,3678,Medium,2
350,228595,6131,2246,Low,1
515,254909,14984,4932,Medium,2
151,959848,34002,6396,Medium,2
152,729772,28542,3823,Medium,2
493,15121,629,75,Medium,2
555,725323,11386,8426,Low,1
342,448881,44320,8549,High,0
477,441359,5666,5545,Low,1
155,728610,50729,4927,Medium,2
419,64461,2798,846,Medium,2
302,918849,62611,11827,Medium,2
267,958615,40321,11830,Medium,2
148,796887,56290,3210,High,0
350,98941,7483,1291,High,0
576,966296,69718,8863,High,0
6,704464,14270,953,Low,1
308,246400,17031,2773,Medium,2
258,160886,5663,3184,Medium,2
457,541586,6819,4140,Low,1
41,329195,15582,6368,Medium,2
164,919256,45060,2599,Medium,2
13,436941,22740,6517,Medium,2
237,258566,18987,820,High,0
103,479298,18115,2970,Medium,2
212,543128,20842,6433,Medium,2
135,266054,4110,3262,Low,1
408,910275,65370,14317,High,0
156,934173,57082,11855,Medium,2
58,258408,10710,3172,Medium,2
124,99955,7343,1832,High,0
591,734580,42871,7045,Medium,2
424,813315,42481,4294,Medium,2
426,121801,6823,496,Medium,2
108,492381,33123,4234,Medium,2
258,340291,23616,4948,Medium,2
231,796003,28661,1439,Medium,2
116,110871,2513,382,Low,1
514,6263,150,18,Low,1
477,980691,66240,11885,Medium,2
103,848603,75151,4764,High,0
157,16165,757,67,Medium,2
342,384567,9712,4715,Low,1
167,765650,59792,11840,High,0
165,904501,76813,6612,High,0
584,345700,30854,4143,High,0
402,497821,32166,1425,Medium,2
281,249024,21781,4673,High,0
508,703808,8014,5208,Low,1
396,805686,15832,16075,Low,1
139,892235,16356,17481,Low,1
199,544617,40374,8603,High,0
405,314831,5119,434,Low,1
37,774858,42363,8776,Medium,2
464,311957,16391,826,Medium,2
474,682457,25908,12289,Medium,2
379,545489,48186,8729,High,0
26,564779,14310,10998,Low,1
42,207035,8637,2600,Medium,2
234,72823,5802,795,High,0
369,226393,2883,2458,Low,1
567,190577,13448,1589,High,0
442,166120,13866,1645,High,0
287,886796,83273,11592,High,0
31,970635,86257,18176,High,0
230,300165,11629,3698,Medium,2
281,465887,29245,8052,Medium,2
288,470323,7974,8180,Low,1
485,814992,27064,8849,Medium,2
457,511274,9448,3886,Low,1
520,414387,15898,5449,Medium,2
551,721578,64052,6834,High,0
196,179454,7401,457,Medium,2
53,616113,37318,5038,Medium,2
516,320689,15715,6377,Medium,2
21,736527,37785,1415,Medium,2
176,344452,33501,4903,High,0
224,448132,16425,7610,Medium,2
162,368527,24492,4910,Medium,2
481,85879,4105,1015,Medium,2
50,3160,48,45,Low,1
377,650194,35136,5954,Medium,2
522,275975,22961,755,High,0
103,340074,6423,6558,Low,1
41,640259,10412,5899,Low,1
284,545107,12988,7436,Low,1
353,964646,76010,10702,High,0
501,573504,43104,1169,High,0
306,514683,31319,9831,Medium,2
185,550713,28714,8843,Medium,2
103,940201,84570,3603,High,0
120,985043,77821,19357,High,0
195,14651,1217,219,High,0
257,355531,29577,3546,High,0
165,286522,19438,3614,Medium,2
260,484505,24816,1467,Medium,2
327,15241,1338,177,High,0
132,330157,30817,792,High,0
22,820147,9958,9310,Low,1
570,646446,9463,7434,Low,1
574,718211,69154,12650,High,0
327,637072,22262,9413,Medium,2
292,289696,25668,1663,High,0
159,416041,18718,7438,Medium,2
494,574779,11908,6835,Low,1
390,644676,11114,8072,Low,1
108,730520,17595,3075,Low,1
397,113635,3692,1965,Medium,2
250,142870,7710,2670,Medium,2
180,240047,17555,3774,High,0
43,611099,60361,11534,High,0
481,864382,42990,5829,Medium,2
542,896265,50761,15560,Medium,2
412,264609,15073,2722,Medium,2
529,753013,44088,3098,Medium,2
510,884194,50042,12119,Medium,2
40,567760,6125,7947,Low,1
24,568522,5773,3667,Low,1
325,824355,15489,1254,Low,1
516,595546,11398,2856,Low,1
404,882608,64819,7586,High,0
475,761547,21660,3186,Low,1
147,133121,12050,623,High,0
96,573784,53691,4840,High,0
358,370580,36253,7142,High,0
55,32012,3025,496,High,0
579,57047,1966,403,Medium,2
194,513776,28709,9803,Medium,2
129,491013,12663,6514,Low,1
154,44487,3672,429,High,0
318,981569,88300,9715,High,0
574,278752,24144,2454,High,0
346,307836,15084,1670,Medium,2
309,633637,49601,5288,High,0
58,2019,37,22,Low,1
448,829127,11294,9147,Low,1
268,140789,10952,2178,High,0
57,468584,22624,3662,Medium,2
576,33398,3326,488,High,0
9,237325,4450,2844,Low,1
107,924533,80440,17820,High,0
200,233825,12439,1945,Medium,2
354,276700,23365,5014,High,0
51,109699,9164,1820,High,0
273,873208,80718,11452,High,0
374,83821,3085,1126,Medium,2
110,824456,78720,2150,High,0
124,810772,19174,15448,Low,1
62,349625,6075,1059,Low,1
350,271472,13260,3176,Medium,2
478,808218,68334,5876,High,0
121,536308,28214,4916,Medium,2
131,531820,45011,6697,High,0
397,456891,34573,8346,High,0
62,634895,18315,6154,Low,1
517,392753,37468,7763,High,0
100,333969,5166,4095,Low,1
122,749035,68046,3033,High,0
564,689370,25782,3178,Medium,2
492,646152,35546,9437,Medium,2
241,161398,7748,315,Medium,2
276,204322,5203,2069,Low,1
193,321343,13571,1226,Medium,2
451,112657,3082,1039,Low,1
585,873292,24757,13316,Low,1
251,542401,14555,5270,Low,1
80,545834,29481,2240,Medium,2
158,891741,72956,5160,High,0
439,496509,30389,3963,Medium,2
90,725835,65607,1685,High,0
289,980113,65950,11861,Medium,2
224,626649,45144,7860,High,0
73,882271,61833,1924,High,0
51,262801,13258,2271,Medium,2
98,948270,68313,8407,High,0
457,692849,11275,5087,Low,1
208,703160,61446,8154,High,0
222,130978,10478,991,High,0
478,623531,19997,5556,Medium,2
436,548966,43435,8867,High,0
345,599167,6673,2444,Low,1
555,665056,19653,8488,Low,1
293,844032,13388,8952,Low,1
258,596922,47885,4056,High,0
361,796661,62162,11809,High,0
27,456710,38010,5239,High,0
526,197218,2051,1985,Low,1
104,798128,43985,10922,Medium,2
184,589743,43307,9579,High,0
227,537362,12889,10468,Low,1
446,197845,13548,2563,Medium,2
329,898536,15787,15827,Low,1
520,251466,6618,256,Low,1
20,389038,20549,4308,Medium,2
340,486749,33498,2471,Medium,2
262,856734,19814,2389,Low,1
501,74542,1988,827,Low,1
164,677278,19234,10287,Low,1
479,960850,30250,8487,Medium,2
384,579986,17625,7964,Medium,2
549,133826,6097,1379,Medium,2
431,558146,38423,5193,Medium,2
272,810736,40068,5281,Medium,2
581,127409,10172,1053,High,0
421,690388,51595,5278,High,0
172,513744,10987,6821,Low,1
47,184781,2660,592,Low,1
560,554940,49397,1531,High,0
289,403652,6936,5465,Low,1
401,309281,7221,3519,Low,1
16,147378,1767,1352,Low,1
306,559219,37216,2178,Medium,2
257,43663,2725,384,Medium,2
503,18461,1824,295,High,0
39,827867,74362,14821,High,0
94,74569,3502,1069,Medium,2
422,520681,22619,1113,Medium,2
119,510671,18750,7015,Medium,2
200,550204,13048,3069,Low,1
505,781810,17534,5464,Low,1
497,671079,14700,3168,Low,1
79,234395,4751,3689,Low,1
417,616867,19521,8218,Medium,2
380,26919,1012,339,Medium,2
424,929345,89720,12724,High,0
281,384574,23867,2114,Medium,2
